local_path,id,user_nid,date_taken,model,lon,lat,autotags,ISO,shutter,aperture,focal,count,modelyear,type,stype,size,emp,make,date,year,month,isoweekday,hour,secpast,photo_url,views,faves,modeli,counti
/Users/damoncrockett/Desktop/astrophotography_data/images/7359726420_f6113dfb31.jpg,7359726420,9998127@N06,2012-06-08 21:49:30.0,NIKON+CORPORATION+NIKON+D40X,,,"black background:0.9510,black:0.9510,blackandwhite:1.0000,lunar:0.5190,monochrome:0.9960,moon:0.5190,nature:0.5190,night:0.5390,outdoor:0.6790",1600,1%2F250,4.5,55.0,1.0,2007.0,dslr,ccd,369.72,10.0,NIKON,2012-06-08 21:49:30,2012,6,5,21,555544170.0,http://www.flickr.com/photos/9998127@N06/7359726420/,522,0,NIKON+CORPORATION+NIKON+D40X,1.0
/Users/damoncrockett/Desktop/astrophotography_data/images/2052091286_a8ec672786.jpg,2052091286,9993075@N06,2007-11-19 23:12:06.0,Panasonic+DMC-FZ7,,,"abstract:0.5860,art:0.5130,black background:0.9030,black:0.9030,light painting:0.5130,lunar:0.6750,moon:0.6750,nature:0.6750,neon light:0.5220,night:0.7080,rain:0.6800,screenshot:0.5300,text:0.5300,underwater:0.5830,water:0.5830",200,50,3.3,72.0,7.0,2006.0,c,ccd,24.745152,6.0,PANASONIC,2007-11-19 23:12:06,2007,11,1,23,411865926.0,http://www.flickr.com/photos/9993075@N06/2052091286/,89,0,Panasonic+DMC-FZ7,7.0
/Users/damoncrockett/Desktop/astrophotography_data/images/2048754707_1b4f34275f.jpg,2048754707,9993075@N06,2007-11-17 21:37:45.0,,,,"abstract:0.5690,art:0.7880,black background:0.9350,black:0.9490,concert:0.6360,diagonal:0.5100,dusk:0.5750,fireworks:0.6410,fog:0.5300,full moon:0.6770,light painting:0.7880,lunar:0.8130,moon:0.8130,music:0.6360,nature:0.8130,neon light:0.8190,night:0.9210,purple:0.5890,rain:0.6660,screenshot:0.7930,serene:0.5960,spider web:0.7020,text:0.7930,web:0.7020",,,,,,,,,,,,2007-11-17 21:37:45,2007,11,6,21,411687465.0,http://www.flickr.com/photos/9993075@N06/2048754707/,241,0,,
/Users/damoncrockett/Desktop/astrophotography_data/images/2049540230_4b8bdca4db.jpg,2049540230,9993075@N06,2007-11-17 21:42:04.0,,,,"abstract:0.7490,art:0.8120,black background:0.9590,black:0.9590,blur:0.6430,concert:0.7130,diagonal:0.6010,dusk:0.6110,fireworks:0.5950,fog:0.5530,full moon:0.6790,light painting:0.8120,lunar:0.7720,minimalism:0.6520,moon:0.7720,music:0.7130,nature:0.7720,neon light:0.8520,night:0.9260,purple:0.6710,quirky:0.5960,rain:0.6670,screenshot:0.8110,serene:0.7320,spider web:0.5110,sun:0.6110,surreal:0.6160,text:0.8110,texture:0.6530,web:0.5110",,,,,,,,,,,,2007-11-17 21:42:04,2007,11,6,21,411687724.0,http://www.flickr.com/photos/9993075@N06/2049540230/,181,0,,
/Users/damoncrockett/Desktop/astrophotography_data/images/4719821726_ccbb02fd86.jpg,4719821726,99908991@N00,2010-06-20 22:17:10.0,,-76.987938,39.647237,"abstract:0.5070,black background:0.7590,black:0.7590,bubble:0.8560,full moon:0.6890,lunar:0.8590,moon:0.8590,nature:0.8590,sun:0.5280",,,,,,,,,,,,2010-06-20 22:17:10,2010,6,7,22,493424230.0,http://www.flickr.com/photos/99908991@N00/4719821726/,280,0,,
/Users/damoncrockett/Desktop/astrophotography_data/images/5088002361_7e2eaf9a35.jpg,5088002361,99908991@N00,2010-10-10 00:56:28.0,Canon+EOS+5D+Mark+II,,,"black background:0.5900,black:0.5900,bubble:0.7140,fireworks:0.7450,lunar:0.5090,moon:0.5090,nature:0.5090,outdoor:0.9000",3200,60,0,50.0,124.0,2008.0,dslr,cmos,864.0,21.0,CANON,2010-10-10 00:56:28,2010,10,7,0,503024188.0,http://www.flickr.com/photos/99908991@N00/5088002361/,233,0,Canon+EOS+5D+Mark+II,124.0
/Users/damoncrockett/Desktop/astrophotography_data/images/3428273776_f45f276f6b.jpg,3428273776,99908991@N00,2009-04-09 13:39:33.0,NIKON+CORPORATION+NIKON+D70s,,,"abstract:0.7430,ancient:0.6650,black background:0.9510,black:0.9510,blue:0.5570,bowl:0.6220,circle:0.9310,curve:0.7580,dish:0.6220,forest:0.7420,full moon:0.9450,kitchen ware:0.6220,landscape:0.7420,lunar:1.0000,macro:0.7190,moon:1.0000,nature:1.0000,organic pattern:0.5000,pattern:0.6010,round:0.9340,sun:0.6100,texture:0.5530",200,1%2F160,0,0.0,23.0,2005.0,dslr,ccd,367.35,6.0,NIKON,2009-04-09 13:39:33,2009,4,4,13,455636373.0,http://www.flickr.com/photos/99908991@N00/3428273776/,306,0,NIKON+CORPORATION+NIKON+D70s,24.0
/Users/damoncrockett/Desktop/astrophotography_data/images/3149039897_836ffdf88d.jpg,3149039897,99858941@N00,2008-12-29 03:07:22.0,NIKON+CORPORATION+NIKON+D40,-84.683303,39.140845,"black:0.7930,full moon:0.6210,lunar:0.6210,monochrome:0.9150,moon:0.6210,nature:0.6210,outdoor:0.9240,storm:0.5180",800,15,3.5,18.0,78.0,2006.0,dslr,ccd,367.35,6.0,NIKON,2008-12-29 03:07:22,2008,12,1,3,446872042.0,http://www.flickr.com/photos/99858941@N00/3149039897/,"50,322",86,NIKON+CORPORATION+NIKON+D40,80.0
/Users/damoncrockett/Desktop/astrophotography_data/images/4890708189_2ff70aebfa.jpg,4890708189,9979322@N06,2010-08-13 21:12:57.0,Canon+EOS+REBEL+T1i,-81.208126,37.880561,"blue:0.9300,cloud:0.9550,dusk:0.9290,fog:0.6970,full moon:0.7620,lunar:0.8180,moon:0.8180,nature:0.8180,night:0.6470,outdoor:0.9700,photo border:0.9190,rainbow:0.5310,sea:0.5540,serene:0.8200,sky:0.9790,storm:0.5440,sun:0.9300,sunlight:0.8010,sunrise:0.7430,sunset:0.8600",400,9,3.5,42.0,165.0,2009.0,dslr,cmos,332.27,15.0,CANON,2010-08-13 21:12:57,2010,8,5,21,498085977.0,http://www.flickr.com/photos/9979322@N06/4890708189/,148,0,Canon+EOS+500D,188.0
/Users/damoncrockett/Desktop/astrophotography_data/images/3247554126_1615d84681.jpg,3247554126,9979322@N06,2009-01-29 17:03:41.0,Canon+EOS+DIGITAL+REBEL+XSi,-119.268264,45.79769,outdoor:0.9130,250,1%2F125,4.5,104.0,76.0,2008.0,dslr,cmos,328.56,12.0,CANON,2009-01-29 17:03:41,2009,1,4,17,449600621.0,http://www.flickr.com/photos/9979322@N06/3247554126/,86,0,Canon+EOS+450D,110.0
