lon,lat,ISO,size,make,secpast,views,type,x,y
-84.683303,39.140845,800,367.35,NIKON,446872042.0,50322,dslr,26.0,15.0
-81.208126,37.880561,400,332.27,CANON,498085977.0,148,dslr,7.0,16.0
-119.268264,45.79769,250,328.56,CANON,449600621.0,86,dslr,19.0,32.0
-80.96632,37.899916,400,332.27,CANON,495495562.0,68,dslr,14.0,32.0
170.463877,-43.987357,800,224.9,OLYMPUS,568622632.0,13852,dslr,18.0,45.0
15.324722,-24.735,1600,332.27,CANON,588721670.0,73133,dslr,10.0,32.0
-101.577873,19.629653,1250,372.88,NIKON,449786713.0,5186,dslr,6.0,38.0
-101.577873,19.629653,1250,372.88,NIKON,449791796.0,22482,dslr,6.0,37.0
-4.935135,51.599147,320,372.88,NIKON,569548302.0,105,dslr,6.0,37.0
-4.998588,51.672872,3200,372.88,NIKON,498089484.0,1300,dslr,18.0,23.0
-4.934964,51.598667,1250,372.88,NIKON,569547555.0,415,dslr,6.0,37.0
0.457177,51.755648,100,22.515,CANON,395990932.0,71,dslr,6.0,37.0
83.107382,54.786712,200,328.56,CANON,433939465.0,1960,dslr,30.0,23.0
-16.522021,28.302869,1600,328.56,CANON,436489181.0,4113,dslr,39.0,27.0
-16.564625,28.294839,800,342.77,CANON,412915016.0,1542,dslr,40.0,26.0
-16.510959,28.301452,1600,328.56,CANON,430962077.0,3041,dslr,40.0,27.0
-16.564625,28.294839,800,328.56,CANON,431570438.0,2082,dslr,41.0,24.0
-16.501164,28.306534,100,342.77,CANON,389308424.0,7835,dslr,35.0,0.0
-16.630833,28.223292,200,328.56,CANON,421379234.0,1645,dslr,40.0,26.0
-16.564625,28.294839,100,342.77,CANON,400733272.0,1772,dslr,41.0,24.0
-16.564625,28.294839,1600,328.56,CANON,416372545.0,2511,dslr,39.0,27.0
-82.763989,33.561205,3200,372.88,SONY,571780649.0,39,dslr,41.0,24.0
-82.764017,33.561208,3200,372.88,SONY,571780761.0,35,dslr,40.0,26.0
-82.764031,33.5612,3200,372.88,SONY,571780943.0,38,dslr,40.0,26.0
-82.764042,33.561222,1250,366.6,SONY,571779221.0,73,dslr,40.0,26.0
-82.764056,33.561205,1000,366.6,SONY,571779100.0,71,dslr,30.0,23.0
-82.763995,33.561152,1600,372.88,SONY,571785619.0,35,dslr,35.0,0.0
-82.763989,33.561158,1600,372.88,SONY,571785728.0,33,dslr,15.0,14.0
-82.763989,33.561158,1600,372.88,SONY,571785808.0,37,dslr,30.0,23.0
-82.764037,33.561236,50,366.6,SONY,571773912.0,68,dslr,35.0,0.0
-82.763975,33.561197,1600,372.88,SONY,571787133.0,45,dslr,39.0,23.0
-82.764031,33.56118,50,366.6,SONY,571772874.0,72,dslr,34.0,2.0
-82.763953,33.561152,1600,372.88,SONY,571785895.0,35,dslr,30.0,23.0
-82.763978,33.561163,1600,372.88,SONY,571786584.0,38,dslr,15.0,14.0
-82.763807,33.560994,3200,372.88,SONY,571774776.0,316,dslr,15.0,13.0
-82.763995,33.561191,1600,372.88,SONY,571797413.0,47,dslr,36.0,25.0
-82.763992,33.561191,1600,372.88,SONY,571797253.0,45,dslr,15.0,14.0
-82.763989,33.561194,1600,372.88,SONY,571797147.0,42,dslr,15.0,14.0
-82.763984,33.561163,1600,372.88,SONY,571786272.0,40,dslr,35.0,0.0
-82.763981,33.561161,1600,372.88,SONY,571786374.0,37,dslr,38.0,25.0
-82.763989,33.561191,1600,372.88,SONY,571797050.0,42,dslr,23.0,21.0
-82.763992,33.561194,1600,372.88,SONY,571796893.0,43,dslr,22.0,20.0
-82.763967,33.561169,1600,372.88,SONY,571786766.0,36,dslr,34.0,2.0
-82.763992,33.561194,200,372.88,SONY,571796559.0,37,dslr,16.0,12.0
-82.763973,33.561177,1600,372.88,SONY,571787016.0,42,dslr,34.0,2.0
-82.763981,33.561177,1600,372.88,SONY,571787957.0,37,dslr,15.0,14.0
-82.763992,33.561194,1600,372.88,SONY,571795413.0,48,dslr,34.0,0.0
-82.763984,33.561161,1600,372.88,SONY,571788482.0,41,dslr,15.0,14.0
-82.763987,33.561161,1600,372.88,SONY,571788680.0,153,dslr,15.0,14.0
-82.763987,33.561158,1600,372.88,SONY,571788795.0,55,dslr,40.0,25.0
-82.763998,33.561158,1600,372.88,SONY,571789316.0,41,dslr,40.0,25.0
-82.764006,33.561205,1600,372.88,SONY,571794616.0,39,dslr,16.0,12.0
-82.764006,33.561211,1600,372.88,SONY,571794346.0,41,dslr,37.0,25.0
-82.764017,33.56118,1600,372.88,SONY,571794217.0,21,dslr,16.0,12.0
-82.764006,33.561161,1600,372.88,SONY,571789875.0,44,dslr,16.0,12.0
-82.764028,33.561202,3200,372.88,SONY,571793972.0,42,dslr,16.0,12.0
-82.76402,33.561191,3200,372.88,SONY,571793859.0,69,dslr,16.0,12.0
-82.764009,33.561163,1600,372.88,SONY,571790150.0,39,dslr,16.0,12.0
-82.764037,33.561188,3200,372.88,SONY,571793147.0,37,dslr,34.0,2.0
-82.763981,33.561163,1600,372.88,SONY,571786194.0,23,dslr,16.0,12.0
-82.764039,33.561183,3200,372.88,SONY,571792623.0,37,dslr,16.0,12.0
-82.764031,33.561172,1600,372.88,SONY,571791088.0,36,dslr,15.0,13.0
-82.764012,33.561177,1600,372.88,SONY,571791172.0,41,dslr,15.0,13.0
-82.76402,33.5612,1600,372.88,SONY,571791401.0,38,dslr,39.0,27.0
-82.764045,33.561155,1600,372.88,SONY,571791513.0,38,dslr,39.0,27.0
-82.764039,33.561169,1600,372.88,SONY,571792039.0,38,dslr,41.0,25.0
-82.764037,33.561186,3200,372.88,SONY,571792819.0,38,dslr,40.0,25.0
-82.764037,33.561188,3200,372.88,SONY,571793225.0,39,dslr,40.0,27.0
-82.764078,33.561205,1600,372.88,SONY,571794054.0,42,dslr,40.0,26.0
-82.764012,33.561205,3200,372.88,SONY,571794518.0,45,dslr,39.0,27.0
-82.764006,33.561202,1600,372.88,SONY,571794690.0,41,dslr,35.0,0.0
-82.763998,33.561194,1600,372.88,SONY,571794768.0,41,dslr,39.0,27.0
-82.764009,33.561161,1600,372.88,SONY,571790228.0,35,dslr,41.0,25.0
-82.764006,33.561163,1600,372.88,SONY,571790064.0,40,dslr,41.0,25.0
-82.764006,33.561163,1600,372.88,SONY,571789963.0,42,dslr,39.0,27.0
-82.763998,33.561158,1600,372.88,SONY,571789504.0,40,dslr,40.0,27.0
-82.764017,33.561169,3200,372.88,SONY,571783300.0,36,dslr,41.0,24.0
-82.764009,33.561163,400,372.88,SONY,571775326.0,37,dslr,16.0,12.0
-84.590328,34.027147,80,852.04,SONY,586138282.0,225,dslr,16.0,12.0
-82.764023,33.561194,3200,372.88,SONY,571782720.0,42,dslr,16.0,12.0
-82.764003,33.561183,3200,372.88,SONY,571782506.0,33,dslr,41.0,24.0
-82.764006,33.561197,400,372.88,SONY,571775048.0,48,dslr,37.0,25.0
-84.590309,34.027447,50,366.6,SONY,569882741.0,231,dslr,30.0,23.0
-82.763998,33.561197,1250,366.6,SONY,571800290.0,306,dslr,22.0,33.0
-82.764014,33.561188,2000,366.6,SONY,571785315.0,95,dslr,39.0,1.0
-82.764028,33.561194,1000,366.6,SONY,571779017.0,71,dslr,39.0,1.0
-82.764028,33.561202,3200,372.88,SONY,571793972.0,247,dslr,48.0,18.0
-84.590445,34.027227,160,852.04,SONY,576714422.0,214,dslr,9.0,26.0
-84.590378,34.027238,320,852.04,SONY,576712634.0,185,dslr,11.0,31.0
-84.634289,34.610388,2500,366.6,SONY,567135256.0,195,dslr,11.0,31.0
-84.589887,34.027383,250,852.04,SONY,577418044.0,225,dslr,36.0,31.0
-84.69957,33.948302,160,852.04,SONY,579295348.0,146,dslr,34.0,31.0
-84.590631,34.027355,100,372.88,SONY,572186120.0,180,dslr,34.0,31.0
-82.763485,33.560851,1600,366.6,SONY,568239130.0,264,dslr,35.0,31.0
-84.590459,34.027274,12800,852.04,SONY,574819212.0,309,dslr,34.0,31.0
-84.590445,34.027272,8000,852.04,SONY,574816821.0,287,dslr,36.0,31.0
-82.764014,33.561166,800,372.88,SONY,571775434.0,37,dslr,34.0,31.0
-84.590423,34.027269,1000,852.04,SONY,574813715.0,208,dslr,25.0,16.0
-82.763962,33.561186,800,372.88,SONY,571775528.0,41,dslr,37.0,21.0
-84.590439,34.027388,125,852.04,SONY,585535121.0,126,dslr,7.0,33.0
-84.590445,34.027386,200,852.04,SONY,585535238.0,119,dslr,11.0,35.0
-84.590764,34.020819,500,366.6,SONY,573258171.0,267,dslr,16.0,12.0
-84.590764,34.020819,500,366.6,SONY,573258171.0,221,dslr,33.0,15.0
-84.590362,34.027347,100,852.04,SONY,585534970.0,84,dslr,36.0,13.0
