capture_device,year,size,make,type,emp
SBIG+ST-L-11K+3+CCD+Camera+w%2F+AO,2003.0,889.2,SBIG,astro,11.0
SBIG+ST-L-11K+3+CCD+Camera,2003.0,889.2,SBIG,astro,11.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
Canon+EOS+5D,2005.0,864.0,CANON,dslr,13.0
Canon+EOS+5D+Mark+III,2012.0,864.0,CANON,dslr,22.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
Canon+EOS+5D+Mark+III,2012.0,864.0,CANON,dslr,22.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+5D+Mark+III,2012.0,864.0,CANON,dslr,22.0
Canon+EOS+5D+Mark+III,2012.0,864.0,CANON,dslr,22.0
Canon+EOS+5D+Mark+III,2012.0,864.0,CANON,dslr,22.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
Canon+EOS+5D+Mark+III,2012.0,864.0,CANON,dslr,22.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+III,2012.0,864.0,CANON,dslr,22.0
Canon+EOS+5D+Mark+III,2012.0,864.0,CANON,dslr,22.0
Canon+EOS+5D+Mark+III,2012.0,864.0,CANON,dslr,22.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
NIKON+CORPORATION+NIKON+D700,2008.0,864.0,NIKON,dslr,12.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+6D,2012.0,864.0,CANON,dslr,20.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
Canon+EOS+5D+Mark+II,2008.0,864.0,CANON,dslr,21.0
