x,y,phi,radius,distance,phibin,size,year,make,type,emp
-3.99959535192,-0.0568948233413,-3.1273684681,4,4.0,0,889.2,2003.0,SBIG,astro,11.0
-10.9997929281,-0.0674947311407,-3.13545673044,11,11.0,0,889.2,2003.0,SBIG,astro,11.0
-14.9993877272,-0.135527887119,-3.13255733818,15,15.0,0,864.0,2012.0,CANON,dslr,20.0
-15.9999858829,-0.0212543254904,-3.14026425786,16,16.0,0,864.0,2012.0,CANON,dslr,20.0
-16.9999829575,-0.0240716904735,-3.14017667132,17,17.0,0,864.0,2008.0,CANON,dslr,21.0
-17.9999595625,-0.0381542572073,-3.13947297105,18,18.0,0,864.0,2005.0,CANON,dslr,13.0
-18.9999893677,-0.0201004341604,-3.14053473581,19,19.0,0,864.0,2012.0,CANON,dslr,22.0
-20.9968784164,-0.362072872488,-3.12435023388,21,21.0,0,864.0,2008.0,CANON,dslr,21.0
-25.995883883,-0.462624191063,-3.12379847645,26,26.0,0,864.0,2008.0,CANON,dslr,21.0
-27.9996597294,-0.138039977847,-3.13666263441,28,28.0,0,864.0,2008.0,CANON,dslr,21.0
-29.9996162518,-0.151739074181,-3.13653466288,30,30.0,0,864.0,2012.0,CANON,dslr,20.0
-31.9991658208,-0.23105578527,-3.13437209756,32,32.0,0,864.0,2012.0,CANON,dslr,22.0
-32.9972655816,-0.424810710254,-3.12871924619,33,33.0,0,864.0,2012.0,CANON,dslr,20.0
-33.9957365649,-0.538419359702,-3.12575612812,34,34.0,0,864.0,2012.0,CANON,dslr,20.0
-34.9965785995,-0.489373407846,-3.1276101006,35,35.0,0,864.0,2012.0,CANON,dslr,20.0
-5.99627529257,-0.211382628704,-3.10635492349,6,6.0,1,864.0,2012.0,CANON,dslr,20.0
-11.997144325,-0.261778620415,-3.11977603794,12,12.0,1,864.0,2012.0,CANON,dslr,20.0
-13.9958205826,-0.342061719925,-3.11715724198,14,14.0,1,864.0,2008.0,CANON,dslr,21.0
