model,count,year,type,stype,size,emp,make
Apple+iPhone+4+%28Verizon%29,1,2010.0,phone,bsi-cmos,15.5268,5.0,APPLE
Apple+iPhone+4,1,2010.0,phone,bsi-cmos,15.5268,5.0,APPLE
Canon+EOS+DIGITAL+REBEL,29,2003.0,dslr,cmos,342.77,6.0,CANON
Canon+EOS+10D,19,2003.0,dslr,cmos,342.77,6.0,CANON
Canon+EOS+300D+DIGITAL,8,2003.0,dslr,cmos,342.77,6.0,CANON
Canon+PowerShot+S2+IS,13,2005.0,c,ccd,24.745152,5.0,CANON
Canon+Canon+PowerShot+S2+IS,2,2005.0,c,ccd,24.745152,5.0,CANON
Canon+PowerShot+SD550,2,2005.0,c,ccd,38.277552,7.0,CANON
Canon+PowerShot+A620,2,2005.0,c,ccd,38.277552,7.0,CANON
Canon+EOS+350D+DIGITAL,38,2005.0,dslr,cmos,328.56,8.0,CANON
Canon+EOS+DIGITAL+REBEL+XT,32,2005.0,dslr,cmos,328.56,8.0,CANON
Canon+EOS+Kiss+Digital+N,7,2005.0,dslr,cmos,328.56,8.0,CANON
Canon+Canon+EOS+DIGITAL+REBEL+XT,1,2005.0,dslr,cmos,328.56,8.0,CANON
Canon+PowerShot+S3+IS,16,2006.0,c,ccd,24.745152,6.0,CANON
Canon+PowerShot+A540,11,2006.0,c,ccd,24.745152,6.0,CANON
Canon+PowerShot+SD700+IS,7,2006.0,c,ccd,24.745152,6.0,CANON
Canon+PowerShot+A700,1,2006.0,c,ccd,24.745152,6.0,CANON
Canon+EOS+DIGITAL+REBEL+XTi,66,2006.0,dslr,cmos,328.56,10.0,CANON
Canon+EOS+400D+DIGITAL,49,2006.0,dslr,cmos,328.56,10.0,CANON
Canon+EOS+Kiss+Digital+X,2,2006.0,dslr,cmos,328.56,10.0,CANON
Canon+PowerShot+S5+IS,8,2007.0,c,ccd,24.745152,8.0,CANON
Canon+DIGITAL+IXUS+860+IS,2,2007.0,c,ccd,24.745152,8.0,CANON
Canon+PowerShot+A560,2,2007.0,c,ccd,24.745152,7.0,CANON
Canon+PowerShot+A550,2,2007.0,c,ccd,24.745152,7.0,CANON
Canon+PowerShot+A720+IS,1,2007.0,c,ccd,24.745152,8.0,CANON
Canon+PowerShot+SD1100+IS,4,2008.0,c,ccd,24.745152,8.0,CANON
Canon+DIGITAL+IXUS+82+IS,1,2008.0,c,ccd,24.745152,8.0,CANON
Canon+DIGITAL+IXUS+870+IS,1,2008.0,c,ccd,28.0735,10.0,CANON
Canon+PowerShot+SD880+IS,1,2008.0,c,ccd,28.0735,10.0,CANON
Canon+EOS+DIGITAL+REBEL+XSi,76,2008.0,dslr,cmos,328.56,12.0,CANON
Canon+EOS+DIGITAL+REBEL+XS,37,2008.0,dslr,cmos,328.56,10.0,CANON
Canon+EOS+450D,34,2008.0,dslr,cmos,328.56,12.0,CANON
Canon+EOS+1000D,27,2008.0,dslr,cmos,328.56,10.0,CANON
Canon+EOS+REBEL+T1i,165,2009.0,dslr,cmos,332.27,15.0,CANON
