model,count,year,type,stype,size,emp,make
NIKON+COOLPIX+P5000,216,2007,c,ccd,38.16,10,NIKON
Canon+EOS+REBEL+T1i,165,2009,dslr,cmos,332.27,15,CANON
NIKON+CORPORATION+NIKON+D5100,155,2011,dslr,cmos,368.16,16,NIKON
Canon+EOS+5D+Mark+II,124,2008,dslr,cmos,864,21,CANON
NIKON+CORPORATION+NIKON+D4,124,2012,dslr,cmos,860.4,16,NIKON
NIKON+CORPORATION+NIKON+D700,112,2008,dslr,cmos,864,12,NIKON
NIKON+CORPORATION+NIKON+D90,99,2008,dslr,cmos,372.88,12,NIKON
NIKON+CORPORATION+NIKON+D300,97,2007,dslr,cmos,372.88,12,NIKON
SONY+SLT-A65V,94,2011,dslr,cmos,372.88,24,SONY
Canon+EOS+60D,93,2010,dslr,cmos,332.27,18,CANON
Canon+EOS+7D,93,2009,dslr,cmos,332.27,18,CANON
Canon+EOS+REBEL+T2i,88,2010,dslr,cmos,332.27,18,CANON
Canon+EOS+6D,85,2012,dslr,cmos,864,20,CANON
NIKON+CORPORATION+NIKON+D40,78,2006,dslr,ccd,367.35,6,NIKON
Canon+EOS+550D,77,2010,dslr,cmos,332.27,18,CANON
Canon+EOS+DIGITAL+REBEL+XSi,76,2008,dslr,cmos,328.56,12,CANON
SONY+SLT-A99V,75,2012,dslr,cmos,852.04,24,SONY
NIKON+CORPORATION+NIKON+D7000,72,2010,dslr,cmos,370.52,16,NIKON
Canon+EOS+DIGITAL+REBEL+XTi,66,2006,dslr,cmos,328.56,10,CANON
Canon+EOS+40D,65,2007,dslr,cmos,328.56,10,CANON
SONY+SLT-A55V,53,2010,dslr,cmos,366.6,16,SONY
Canon+EOS+400D+DIGITAL,49,2006,dslr,cmos,328.56,10,CANON
Canon+EOS+5D+Mark+III,47,2012,dslr,cmos,864,22,CANON
Canon+PowerShot+S100,46,2011,c,cmos,41.5152,12,CANON
NIKON+CORPORATION+NIKON+D800,45,2012,dslr,cmos,861.6,36,NIKON
NIKON+CORPORATION+NIKON+D5000,39,2009,dslr,cmos,372.88,12,NIKON
Canon+EOS+350D+DIGITAL,38,2005,dslr,cmos,328.56,8,CANON
Canon+EOS+DIGITAL+REBEL+XS,37,2008,dslr,cmos,328.56,10,CANON
SONY+DSLR-A390,37,2010,dslr,ccd,368.95,14,SONY
Canon+EOS+450D,34,2008,dslr,cmos,328.56,12,CANON
NIKON+COOLPIX+P7000,34,2010,c,ccd,41.5152,10,NIKON
SONY+DSLR-A550,33,2009,dslr,cmos,365.04,14,SONY
FUJIFILM+FinePix+S5700+S700,32,2007,c,ccd,24.745152,7,FUJIFILM
