model,modeli,count,year,type,stype,size,emp,make
Apple+iPhone+3GS,Apple+iPhone+3GS,11,2009,phone,cmos,9.6302,3,APPLE
Apple+iPhone+4+%28Verizon%29,Apple+iPhone+4,1,2010,phone,bsi-cmos,15.5268,5,APPLE
Apple+iPhone+4,Apple+iPhone+4,1,2010,phone,bsi-cmos,15.5268,5,APPLE
Apple+iPad+2,Apple+iPad+2,1,2011,tablet,,,1,APPLE
Apple+iPhone+5,Apple+iPhone+5,1,2012,phone,bsi-cmos,15.5268,8,APPLE
Apple+iPhone+4S,Apple+iPhone+4S,1,2013,phone,bsi-cmos,15.5268,8,APPLE
Apple+iPhone+5s,Apple+iPhone+5s,1,2013,phone,bsi-cmos,17.9463,8,APPLE
Apple+iPhone,Apple+iPhone,2,,phone,cmos,,,APPLE
BenQ+DC1500,BenQ+DC1500,2,2002,c,cmos,,1,BENQ
BenQ+C1050,BenQ+C1050,1,2008,c,ccd,43.32,10,BENQ
Canon+PowerShot+A10,Canon+PowerShot+A10,1,2001,c,ccd,21.163008,1,CANON
Canon+PowerShot+S30,Canon+PowerShot+S30,1,2001,c,ccd,38.277552,3,CANON
Canon+EOS-1D,Canon+EOS-1D,1,2001,dslr,ccd,548.17,4,CANON
Canon+PowerShot+A40,Canon+PowerShot+A40,2,2002,c,ccd,21.163008,2,CANON
Canon+PowerShot+A60,Canon+PowerShot+A60,1,2003,c,ccd,21.163008,2,CANON
Canon+PowerShot+A70,Canon+PowerShot+A70,2,2003,c,ccd,21.163008,3,CANON
Canon+PowerShot+S400,Canon+PowerShot+S400,1,2003,c,ccd,38.277552,4,CANON
Canon+PowerShot+S50,Canon+PowerShot+S50,1,2003,c,ccd,38.277552,5,CANON
Canon+EOS+300D+DIGITAL,Canon+EOS+300D+DIGITAL,8,2003,dslr,cmos,342.77,6,CANON
Canon+EOS+10D,Canon+EOS+10D,19,2003,dslr,cmos,342.77,6,CANON
Canon+EOS+DIGITAL+REBEL,Canon+EOS+300D+DIGITAL,29,2003,dslr,cmos,342.77,6,CANON
Canon+PowerShot+S1+IS,Canon+PowerShot+S1+IS,1,2004,c,ccd,21.163008,3,CANON
Canon+EOS+20D,Canon+EOS+20D,25,2004,dslr,cmos,22.515,8,CANON
Canon+PowerShot+A95,Canon+PowerShot+A95,1,2004,c,ccd,38.277552,5,CANON
Canon+PowerShot+A410,Canon+PowerShot+A410,1,2005,c,ccd,15.485952,3,CANON
Canon+PowerShot+A520,Canon+PowerShot+A520,2,2005,c,ccd,24.745152,4,CANON
Canon+Canon+PowerShot+S2+IS,Canon+PowerShot+S2+IS,2,2005,c,ccd,24.745152,5,CANON
Canon+PowerShot+A510,Canon+PowerShot+A510,6,2005,c,ccd,24.745152,3,CANON
Canon+PowerShot+S2+IS,Canon+PowerShot+S2+IS,13,2005,c,ccd,24.745152,5,CANON
Canon+PowerShot+S80,Canon+PowerShot+S80,1,2005,c,ccd,38.277552,8,CANON
Canon+PowerShot+SD550,Canon+PowerShot+SD550,2,2005,c,ccd,38.277552,7,CANON
Canon+PowerShot+A620,Canon+PowerShot+A620,2,2005,c,ccd,38.277552,7,CANON
Canon+Canon+EOS+DIGITAL+REBEL+XT,Canon+EOS+350D+DIGITAL,1,2005,dslr,cmos,328.56,8,CANON
Canon+EOS+Kiss+Digital+N,Canon+EOS+350D+DIGITAL,7,2005,dslr,cmos,328.56,8,CANON
Canon+EOS+DIGITAL+REBEL+XT,Canon+EOS+350D+DIGITAL,32,2005,dslr,cmos,328.56,8,CANON
Canon+EOS+350D+DIGITAL,Canon+EOS+350D+DIGITAL,38,2005,dslr,cmos,328.56,8,CANON
Canon+EOS+5D,Canon+EOS+5D,7,2005,dslr,cmos,864,13,CANON
Canon+PowerShot+A700,Canon+PowerShot+A700,1,2006,c,ccd,24.745152,6,CANON
Canon+PowerShot+A530,Canon+PowerShot+A530,5,2006,c,ccd,24.745152,5,CANON
Canon+PowerShot+SD700+IS,Canon+PowerShot+SD700+IS,7,2006,c,ccd,24.745152,6,CANON
Canon+PowerShot+A540,Canon+PowerShot+A540,11,2006,c,ccd,24.745152,6,CANON
Canon+PowerShot+S3+IS,Canon+PowerShot+S3+IS,16,2006,c,ccd,24.745152,6,CANON
Canon+EOS+Kiss+Digital+X,Canon+EOS+400D+DIGITAL,2,2006,dslr,cmos,328.56,10,CANON
Canon+EOS+400D+DIGITAL,Canon+EOS+400D+DIGITAL,49,2006,dslr,cmos,328.56,10,CANON
Canon+EOS+DIGITAL+REBEL+XTi,Canon+EOS+400D+DIGITAL,66,2006,dslr,cmos,328.56,10,CANON
Canon+EOS+30D,Canon+EOS+30D,24,2006,dslr,cmos,337.5,8,CANON
Canon+PowerShot+A720+IS,Canon+PowerShot+A720+IS,1,2007,c,ccd,24.745152,8,CANON
Canon+PowerShot+A560,Canon+PowerShot+A560,2,2007,c,ccd,24.745152,7,CANON
Canon+PowerShot+A550,Canon+PowerShot+A550,2,2007,c,ccd,24.745152,7,CANON
Canon+DIGITAL+IXUS+860+IS,Canon+DIGITAL+IXUS+860+IS,2,2007,c,ccd,24.745152,8,CANON
Canon+PowerShot+S5+IS,Canon+PowerShot+S5+IS,8,2007,c,ccd,24.745152,8,CANON
Canon+PowerShot+G9,Canon+PowerShot+G9,11,2007,c,ccd,41.5152,12,CANON
Canon+EOS+40D,Canon+EOS+40D,65,2007,dslr,cmos,328.56,10,CANON
Canon+EOS-1D+Mark+III,Canon+EOS-1D+Mark+III,4,2007,dslr,cmos,536.69,10,CANON
Canon+DIGITAL+IXUS+82+IS,Canon+DIGITAL+IXUS+82+IS,1,2008,c,ccd,24.745152,8,CANON
Canon+PowerShot+SD1100+IS,Canon+PowerShot+SD1100+IS,4,2008,c,ccd,24.745152,8,CANON
Canon+DIGITAL+IXUS+870+IS,Canon+PowerShot+SD880+IS,1,2008,c,ccd,28.0735,10,CANON
Canon+PowerShot+SD880+IS,Canon+PowerShot+SD880+IS,1,2008,c,ccd,28.0735,10,CANON
Canon+PowerShot+SX10+IS,Canon+PowerShot+SX10+IS,5,2008,b,ccd,28.0735,10,CANON
Canon+PowerShot+SX110+IS,Canon+PowerShot+SX110+IS,7,2008,c,ccd,28.0735,9,CANON
Canon+PowerShot+SX1+IS,Canon+PowerShot+SX1+IS,1,2008,b,cmos,28.0735,10,CANON
Canon+EOS+1000D,Canon+EOS+1000D,27,2008,dslr,cmos,328.56,10,CANON
Canon+EOS+450D,Canon+EOS+450D,34,2008,dslr,cmos,328.56,12,CANON
Canon+EOS+DIGITAL+REBEL+XS,Canon+EOS+1000D,37,2008,dslr,cmos,328.56,10,CANON
Canon+EOS+DIGITAL+REBEL+XSi,Canon+EOS+450D,76,2008,dslr,cmos,328.56,12,CANON
Canon+EOS+50D,Canon+EOS+50D,29,2008,dslr,cmos,332.27,15,CANON
Canon+EOS+5D+Mark+II,Canon+EOS+5D+Mark+II,124,2008,dslr,cmos,864,21,CANON
Canoscan+8800F,Canoscan+8800F,1,2008,scan,,,,CANON
Canon+PowerShot+SX120+IS,Canon+PowerShot+SX120+IS,3,2009,c,ccd,24.745152,10,CANON
Canon+PowerShot+SX200+IS,Canon+PowerShot+SX200+IS,15,2009,c,ccd,28.0735,12,CANON
Canon+PowerShot+SX20+IS,Canon+PowerShot+SX20+IS,28,2009,b,ccd,28.0735,12,CANON
Canon+EOS+Kiss+X3,Canon+EOS+500D,7,2009,dslr,cmos,332.27,15,CANON
Canon+EOS+500D,Canon+EOS+500D,16,2009,dslr,cmos,332.27,15,CANON
Canon+EOS+7D,Canon+EOS+7D,93,2009,dslr,cmos,332.27,18,CANON
Canon+EOS+REBEL+T1i,Canon+EOS+500D,165,2009,dslr,cmos,332.27,15,CANON
Canon+EOS-1D+Mark+IV,Canon+EOS-1D+Mark+IV,2,2009,dslr,cmos,518.94,16,CANON
Canon+PowerShot+A3100+IS,Canon+PowerShot+A3100+IS,1,2010,c,ccd,28.0735,12,CANON
Canon+PowerShot+SX210+IS,Canon+PowerShot+SX210+IS,2,2010,c,ccd,28.0735,14,CANON
Canon+PowerShot+S95,Canon+PowerShot+S95,4,2010,c,ccd,41.5152,10,CANON
Canon+EOS+Kiss+X4,Canon+EOS+550D,14,2010,dslr,cmos,332.27,18,CANON
Canon+EOS+550D,Canon+EOS+550D,77,2010,dslr,cmos,332.27,18,CANON
Canon+EOS+REBEL+T2i,Canon+EOS+550D,88,2010,dslr,cmos,332.27,18,CANON
Canon+EOS+60D,Canon+EOS+60D,93,2010,dslr,cmos,332.27,18,CANON
Canon+IXUS+230+HS,Canon+IXUS+230+HS,1,2011,c,bsi-cmos,28.0735,12,CANON
Canon+PowerShot+ELPH+300+HS,Canon+PowerShot+ELPH+300+HS,2,2011,c,bsi-cmos,28.0735,12,CANON
Canon+PowerShot+SX40+HS,Canon+PowerShot+SX40+HS,5,2011,b,bsi-cmos,28.0735,12,CANON
Canon+PowerShot+S100,Canon+PowerShot+S100,46,2011,c,cmos,41.5152,12,CANON
Canon+EOS+REBEL+T3,Canon+EOS+1100D,6,2011,dslr,cmos,328.56,12,CANON
Canon+EOS+1100D,Canon+EOS+1100D,11,2011,dslr,cmos,328.56,12,CANON
Canon+EOS+REBEL+T3i,Canon+EOS+600D,8,2011,dslr,cmos,332.27,18,CANON
Canon+EOS+600D,Canon+EOS+600D,18,2011,dslr,cmos,332.27,18,CANON
Canon+MP640+series,Canon+MP640+series,1,2011,printer,,,,CANON
Canon+EOS+650D,Canon+EOS+650D,3,2012,dslr,cmos,332.27,18,CANON
Canon+EOS+REBEL+T4i,Canon+EOS+650D,4,2012,dslr,cmos,332.27,18,CANON
Canon+EOS+5D+Mark+III,Canon+EOS+5D+Mark+III,47,2012,dslr,cmos,864,22,CANON
Canon+EOS+6D,Canon+EOS+6D,85,2012,dslr,cmos,864,20,CANON
Canon+EOS+700D,Canon+EOS+700D,8,2013,dslr,cmos,332.27,18,CANON
Canon+Eos,Canon+Eos,1,,,,,,CANON
CASIO+COMPUTER+CO.%2CLTD.+EX-F1,CASIO+COMPUTER+CO.%2CLTD.+EX-F1,2,2008,c,cmos,38.277552,6,CASIO
Sony+Ericsson+LT18i,Sony+Ericsson+LT18i,3,2011,phone,cmos,9.72,8,ERICSSON
FUJIFILM+MX-2900ZOOM,FUJIFILM+MX-2900ZOOM,1,1999,c,ccd,30.72,2,FUJIFILM
FUJIFILM+FinePix4900ZOOM,FUJIFILM+FinePix4900ZOOM,1,2000,c,ccd,41.5152,2,FUJIFILM
FUJIFILM+FinePix6900ZOOM,FUJIFILM+FinePix6900ZOOM,1,2001,c,ccd,41.5152,3,FUJIFILM
FUJIFILM+FinePix+S602+ZOOM,FUJIFILM+FinePix+S602+ZOOM,7,2002,c,ccd,41.5152,3,FUJIFILM
FUJIFILM+FinePixS2Pro,FUJIFILM+FinePixS2Pro,1,2002,dslr,ccd,356.5,6,FUJIFILM
FUJIFILM+FinePix+A210,FUJIFILM+FinePix+A210,1,2003,c,ccd,21.163008,3,FUJIFILM
FUJIFILM+FinePix+S5600,FUJIFILM+FinePix+S5600,1,2005,c,ccd,24.745152,5,FUJIFILM
FUJIFILM+FinePix+S9500,FUJIFILM+FinePix+S9500,1,2005,c,ccd,48,9,FUJIFILM
FUJIFILM+FinePix+F30,FUJIFILM+FinePix+F30,1,2006,c,ccd,41.5152,6,FUJIFILM
FUJIFILM+FinePix+S9600,FUJIFILM+FinePix+S9600,1,2006,c,ccd,48,9,FUJIFILM
FinePix+S5700+S700,FUJIFILM+FinePix+S5700+S700,2,2007,c,ccd,24.745152,7,FUJIFILM
FUJIFILM+FinePix+S5700+S700,FUJIFILM+FinePix+S5700+S700,32,2007,c,ccd,24.745152,7,FUJIFILM
FUJIFILM+FinePix+S5800+S800,FUJIFILM+FinePix+S5800+S800,16,2007,c,ccd,25,8,FUJIFILM
