modeli,year,type,stype,size,emp,make,count
Apple+iPhone+3GS,2009.0,phone,cmos,9.6302,3.0,APPLE,11
Apple+iPhone+4,2010.0,phone,bsi-cmos,15.5268,5.0,APPLE,2
Apple+iPad+2,2011.0,tablet,,,1.0,APPLE,1
Apple+iPhone+5,2012.0,phone,bsi-cmos,15.5268,8.0,APPLE,1
Apple+iPhone+4S,2013.0,phone,bsi-cmos,15.5268,8.0,APPLE,1
Apple+iPhone+5s,2013.0,phone,bsi-cmos,17.9463,8.0,APPLE,1
Apple+iPhone,,phone,cmos,,,APPLE,2
BenQ+DC1500,2002.0,c,cmos,,1.0,BENQ,2
BenQ+C1050,2008.0,c,ccd,43.32,10.0,BENQ,1
Canon+PowerShot+A10,2001.0,c,ccd,21.163008,1.0,CANON,1
Canon+PowerShot+S30,2001.0,c,ccd,38.277552,3.0,CANON,1
Canon+EOS-1D,2001.0,dslr,ccd,548.17,4.0,CANON,1
Canon+PowerShot+A40,2002.0,c,ccd,21.163008,2.0,CANON,2
Canon+PowerShot+A60,2003.0,c,ccd,21.163008,2.0,CANON,1
Canon+PowerShot+A70,2003.0,c,ccd,21.163008,3.0,CANON,2
Canon+PowerShot+S400,2003.0,c,ccd,38.277552,4.0,CANON,1
Canon+PowerShot+S50,2003.0,c,ccd,38.277552,5.0,CANON,1
Canon+EOS+300D+DIGITAL,2003.0,dslr,cmos,342.77,6.0,CANON,37
Canon+EOS+10D,2003.0,dslr,cmos,342.77,6.0,CANON,19
Canon+PowerShot+S1+IS,2004.0,c,ccd,21.163008,3.0,CANON,1
Canon+EOS+20D,2004.0,dslr,cmos,22.515,8.0,CANON,25
Canon+PowerShot+A95,2004.0,c,ccd,38.277552,5.0,CANON,1
Canon+PowerShot+A410,2005.0,c,ccd,15.485952,3.0,CANON,1
Canon+PowerShot+A520,2005.0,c,ccd,24.745152,4.0,CANON,2
Canon+PowerShot+S2+IS,2005.0,c,ccd,24.745152,5.0,CANON,15
Canon+PowerShot+A510,2005.0,c,ccd,24.745152,3.0,CANON,6
Canon+PowerShot+S80,2005.0,c,ccd,38.277552,8.0,CANON,1
Canon+PowerShot+SD550,2005.0,c,ccd,38.277552,7.0,CANON,2
Canon+PowerShot+A620,2005.0,c,ccd,38.277552,7.0,CANON,2
Canon+EOS+350D+DIGITAL,2005.0,dslr,cmos,328.56,8.0,CANON,78
Canon+EOS+5D,2005.0,dslr,cmos,864.0,13.0,CANON,7
Canon+PowerShot+A700,2006.0,c,ccd,24.745152,6.0,CANON,1
Canon+PowerShot+A530,2006.0,c,ccd,24.745152,5.0,CANON,5
Canon+PowerShot+SD700+IS,2006.0,c,ccd,24.745152,6.0,CANON,7
Canon+PowerShot+A540,2006.0,c,ccd,24.745152,6.0,CANON,11
Canon+PowerShot+S3+IS,2006.0,c,ccd,24.745152,6.0,CANON,16
Canon+EOS+400D+DIGITAL,2006.0,dslr,cmos,328.56,10.0,CANON,117
