year,high,mid,entry,shit
1994,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.046511627907,0.0
2007,0.0,0.00369003690037,0.125461254613,0.0405904059041
2008,0.0,0.0671785028791,0.136276391555,0.284069097889
2009,0.0511247443763,0.120654396728,0.139059304703,0.0122699386503
2010,0.118644067797,0.107858243451,0.223420647149,0.00154083204931
2011,0.0615141955836,0.170347003155,0.304416403785,0.0283911671924
2012,0.0775700934579,0.238317757009,0.18691588785,0.0429906542056
2013,0.327111984283,0.128683693517,0.185658153242,0.00589390962672
2014,0.233695652174,0.114130434783,0.0652173913043,0.0
