user_nid,lat,lon
97839409@N00,33.561205,-82.763989
97839409@N00,33.561208,-82.764017
97839409@N00,33.5612,-82.764031
97839409@N00,33.561222,-82.764042
97839409@N00,33.561205,-82.764056
97839409@N00,33.561152,-82.763995
97839409@N00,33.561158,-82.763989
97839409@N00,33.561158,-82.763989
97839409@N00,33.561236,-82.764037
97839409@N00,33.561197,-82.763975
97839409@N00,33.56118,-82.764031
97839409@N00,33.561152,-82.763953
97839409@N00,33.561163,-82.763978
97839409@N00,33.560994,-82.763807
97839409@N00,33.561191,-82.763995
97839409@N00,33.561191,-82.763992
97839409@N00,33.561194,-82.763989
97839409@N00,33.561163,-82.763984
97839409@N00,33.561161,-82.763981
97839409@N00,33.561191,-82.763989
97839409@N00,33.561194,-82.763992
97839409@N00,33.561169,-82.763967
97839409@N00,33.561194,-82.763992
97839409@N00,33.561177,-82.763973
97839409@N00,33.561177,-82.763981
97839409@N00,33.561194,-82.763992
97839409@N00,33.561161,-82.763984
97839409@N00,33.561161,-82.763987
97839409@N00,33.561158,-82.763987
97839409@N00,33.561158,-82.763998
97839409@N00,33.561205,-82.764006
97839409@N00,33.561211,-82.764006
97839409@N00,33.56118,-82.764017
97839409@N00,33.561161,-82.764006
97839409@N00,33.561202,-82.764028
97839409@N00,33.561191,-82.76402
97839409@N00,33.561163,-82.764009
97839409@N00,33.561188,-82.764037
97839409@N00,33.561163,-82.763981
97839409@N00,33.561183,-82.764039
97839409@N00,33.561172,-82.764031
97839409@N00,33.561177,-82.764012
97839409@N00,33.5612,-82.76402
97839409@N00,33.561155,-82.764045
97839409@N00,33.561169,-82.764039
97839409@N00,33.561186,-82.764037
97839409@N00,33.561188,-82.764037
97839409@N00,33.561205,-82.764078
97839409@N00,33.561205,-82.764012
97839409@N00,33.561202,-82.764006
97839409@N00,33.561194,-82.763998
97839409@N00,33.561161,-82.764009
97839409@N00,33.561163,-82.764006
97839409@N00,33.561163,-82.764006
97839409@N00,33.561158,-82.763998
97839409@N00,33.561169,-82.764017
97839409@N00,34.020847,-84.590762
97839409@N00,33.561163,-82.764009
97839409@N00,34.027147,-84.590328
97839409@N00,33.561194,-82.764023
97839409@N00,33.561183,-82.764003
97839409@N00,33.561197,-82.764006
97839409@N00,34.027447,-84.590309
97839409@N00,33.561197,-82.763998
97839409@N00,33.561188,-82.764014
97839409@N00,33.561194,-82.764028
97839409@N00,33.561202,-82.764028
97839409@N00,34.027227,-84.590445
97839409@N00,34.027238,-84.590378
97839409@N00,34.610388,-84.634289
97839409@N00,34.027383,-84.589887
97839409@N00,33.948302,-84.69957
97839409@N00,34.027355,-84.590631
97839409@N00,33.560851,-82.763485
97839409@N00,34.027274,-84.590459
97839409@N00,34.027272,-84.590445
97839409@N00,33.561166,-82.764014
97839409@N00,34.027269,-84.590423
97839409@N00,33.561186,-82.763962
97839409@N00,34.027388,-84.590439
97839409@N00,34.027386,-84.590445
